trial,pos,line,treatment,kd_time,kd_temp,sex,age,line_date,HS_date
0,14,H2,static,30:49,37.5,F,,2018-06-05,2017-06-20
0,1,C2,slow,160:27,39.5,M,,2018-06-05,2017-06-20
0,2,H1,slow,147:20,38.9,F,,2018-06-05,2017-06-20
0,3,H2,slow,151:30,39.3,F,,2018-06-05,2017-06-20
0,4,H1,slow,160:48,39.5,F,,2018-06-05,2017-06-20
0,5,C1,slow,158:58,39.2,M,,2018-06-05,2017-06-20
0,6,C2,slow,152:10,39.3,M,,2018-06-05,2017-06-20
0,7,C1,slow,161:14,39.5,F,,2018-06-05,2017-06-20
0,8,H1,slow,161:14,39.5,F,,2018-06-05,2017-06-20
0,9,C2,slow,150:42,39.3,F,,2018-06-05,2017-06-20
0,10,H2,slow,157:57,39.2,M,,2018-06-05,2017-06-20
0,11,C1,slow,159:46,39.4,F,,2018-06-05,2017-06-20
0,12,H2,slow,161:14,39.5,M,,2018-06-05,2017-06-20
0,13,C2,slow,101:10,34.4,M,,2018-06-05,2017-06-20
0,14,H2,slow,161:14,39.5,M,,2018-06-05,2017-06-20
0,1,C2,slow,,,M,,2018-06-12,2018-06-21
0,2,H1,slow,,,F,,2018-06-12,2018-06-21
0,3,H2,slow,,,M,,2018-06-12,2018-06-21
0,4,C2,slow,,,F,,2018-06-12,2018-06-21
0,5,C1,slow,,,M,,2018-06-12,2018-06-21
0,6,H1,slow,,,M,,2018-06-12,2018-06-21
0,7,H2,slow,,,F,,2018-06-12,2018-06-21
0,8,C2,slow,,,F,,2018-06-12,2018-06-21
0,9,C1,slow,,,F,,2018-06-12,2018-06-21
0,10,H2,slow,,,F,,2018-06-12,2018-06-21
0,11,H1,slow,,,M,,2018-06-12,2018-06-21
0,12,C1,slow,,,M,,2018-06-12,2018-06-21
0,13,C2,slow,,,M,,2018-06-12,2018-06-21
0,14,H2,slow,,,M,,2018-06-12,2018-06-21
